domain,VT_scan,isNXDomain,perNumChars,VtoC,lenDomain,SymToChar,TLD,class
rdjdykfceprrqihpcm.ru,2,0,0,18,21,5,ru,1
jfhxihwykiuwfknoni.ru,2,0,0,43,21,5,ru,1
acamacookldaurglbh.ru,2,0,0,67,21,5,ru,1
hngajjkuknzwdliqfj.ru,2,0,0,25,21,5,ru,1
ciasamkbnavtknxiko.ru,2,0,0,54,21,5,ru,1
hdylanfzmfngwbwxnc.ru,2,0,0,11,21,5,ru,1
vaopxjiaphevkfpqdo.ru,2,0,0,54,21,5,ru,1
yhbyqwmrtqxvmpryon.ru,2,0,0,11,21,5,ru,1
kblqegxrumlsrefvmb.ru,2,0,0,25,21,5,ru,1
rgglvwyzevqeijgnvm.ru,2,0,0,25,21,5,ru,1
gizosuxwpeujnykjye.ru,2,0,0,54,21,5,ru,1
mvkrxumvbedbouiyfh.ru,2,0,0,43,21,5,ru,1
jbznsadolgrgrlaewo.ru,2,0,0,43,21,5,ru,1
aecgrgbjgaofrilwyg.ru,2,0,0,43,21,5,ru,1
vhaygrpumrlmymcwkh.ru,2,0,0,18,21,5,ru,1
anidgwelnidmzueoyl.ru,2,0,0,67,21,5,ru,1
jlkjsxdsvtkygouiix.ru,2,0,0,33,21,5,ru,1
jwxqqbaowfuzkjykbu.ru,2,0,0,33,21,5,ru,1
bgadkfnoywgtkwqrzv.ru,2,0,0,18,21,5,ru,1
jshxuvlexinjevgcdf.ru,2,0,0,33,21,5,ru,1
ddgrctkhjkqhomcmap.ru,2,0,0,18,21,5,ru,1
iuigjtnafzcnuyiqrr.ru,2,0,0,54,21,5,ru,1
kriwexgsismxsdvyfu.ru,2,0,0,33,21,5,ru,1
aopltfxjzsppylfhau.ru,2,0,0,33,21,5,ru,1
vqjghelyqwtfsunoaz.ru,2,0,0,33,21,5,ru,1
tytswxyccnkjufwagt.ru,2,0,0,18,21,5,ru,1
lyyptrzfugnwoqbboo.ru,2,0,0,33,21,5,ru,1
fsbhqgqpckpmgcdlsi.ru,2,0,0,11,21,5,ru,1
dwsdnolwzyzsqkhjkq.ru,2,0,0,11,21,5,ru,1
